title,authors,venue,year,type,link,featured
513Chapter 19 Various elements of a potential hydrogen system in Saudi Arabia,Manzar Fawad; Scott Whattam; Abdullah Alqubalee; Ahmed Al‐Yaseri,,2025,book-chapter,https://doi.org/10.1515/9783111437040-019,
Contact morphology of sand particles in dunes,Fernando Alonso-Marroquin; Sarmad Zafar Khan; Abdullah Alqubalee; Péter Móra; Abdullatif Al‐Shuhail,Scientific Reports,2025,article,https://doi.org/10.1038/s41598-025-15888-8,
Integrative Dashboard (IDB),Abdullah Alqubalee,Zenodo (CERN European Organization for Nuclear Research),2025,other,https://doi.org/10.5281/zenodo.18027324,
WIIP: An Approach for Leveraging Geological Data Heterogeneity through Customization of Open- Source Software,Abdullah Alqubalee,,2025,article,https://doi.org/10.13140/rg.2.2.21030.79680,
Controls on mechanical properties of a carbonate mudstone: Insights from non-destructive techniques and geochemical data,Baqer Albensaad; Septriandi A. Chan; John Humphrey; Abdullah Alqubalee; Ammar El‐Husseiny; Yaser Alzayer,Marine and Petroleum Geology,2024,article,https://doi.org/10.1016/j.marpetgeo.2024.106702,
Diagenetic Controls on Reservoir Porosity of Aeolian and Fluvial Deposits: A Case Study from Permo-Carboniferous Sandstones of Saudi Arabia,Abdulwahab Muhammad Bello; Abduljamiu O. Amao; Abdullah Alqubalee; Murtada Al-Hashem; Houssin Albarri; Mohammed Al‐Masrahy; Khalid Al‐Ramadan; Lamidi Babalola,Arabian Journal for Science and Engineering,2024,article,https://doi.org/10.1007/s13369-023-08590-2,
"Diagenetic controls on the quality of shallow marine sandstones: An example from the Cambro-Ordovician Saq Formation, central Saudi Arabia",Abdulwahab Muhammad Bello; Anas Muhammad Salisu; Abdullah Alqubalee; Abduljamiu O. Amao; Murtada Al-Hashem; Abdulkarim Al-Hussaini; Khalid Al–Ramadan,Journal of African Earth Sciences,2024,article,https://doi.org/10.1016/j.jafrearsci.2024.105295,
"Genesis of Grain-Coating Clays and Their Effect on the Development of Feldspar Overgrowths: A Case Study of the Late Cambrian to Early Ordovician Barik Formation Sandstone Reservoir, Haushi-Huqf Region, Central Oman",Mohamed A. K. El‐Ghali; İftikhar Ahmed Abbasi; Olga Shelukhina; Mohamed S. H. Moustafa; Arshad Ali; Osman Salad Hersi; Shahad Al Mahrooqi; Khalid Al–Ramadan; Abdulwahab Muhammad Bello; Hezam Al-Awah; Abdullah Alqubalee,"Advances in Science, Technology & Innovation/Advances in science, technology & innovation",2024,book-chapter,https://doi.org/10.1007/978-3-031-48758-3_8,
"Mineralogy and Geochemistry of the Paleocene–Eocene Palana Formation in Western Rajasthan, India: Insights for Sedimentary Paleoenvironmental Conditions and Volcanic Activity",Mohammed Hail Hakimi; Alok Kumar; Abdullah Alqubalee; Alok K. Singh; Mohammed Almobarky; Afikah Rahim; Mohammad Alqudah; Aref Lashin; Khairul Azlan Mustapha; Waqas Naseem,Minerals,2024,article,https://doi.org/10.3390/min14020126,
"Shift from arc to within-plate magmatism at 635 Ma as recorded by Neoproterozoic dikes, southern Midyan terrane, NW Arabian Shield",Scott Whattam; Robert J. Stern; Hossein Azizi; Keewook Yi; Haitham M. Baggazi; Abdullah Alqubalee; Fatemeh Nouri; Brian R. Jicha; Yanick Brice Lemdjou; Abdelhamid El Fakharani,Precambrian Research,2024,article,https://doi.org/10.1016/j.precamres.2024.107430,
"Source rock potential, thermal maturity, and depositional environment of the Ordovician Ra’an Shale Member, central Saudi Arabia",Faisal AlGhamdi; Lamidi Babalola; Abdullah Alqubalee; Israa S. Abu‐Mahfouz; Bandar Alotaibi; Mohammed Abouelresh,Journal of Asian Earth Sciences X,2024,article,https://doi.org/10.1016/j.jaesx.2024.100174,
"Characteristics, distribution, and origin of ferruginous deposits within the Late Ordovician glaciogenic setting of Arabia",Abdullah Alqubalee; Anas Muhammad Salisu; Abdulwahab Muhammad Bello; Abdulkarim Al-Hussaini; Khalid Al–Ramadan,Scientific Reports,2023,article,https://doi.org/10.1038/s41598-023-45563-9,
Decision Tree Ensembles for Automatic Identification of Lithology,Mahmoud Desouky; Abdullah Alqubalee; Ahmed Gowida,,2023,article,https://doi.org/10.2118/214460-ms,
"Depositional and sequence stratigraphic controls on diagenesis in the Upper Cambrian-Lower Ordovician Barik Formation, central Oman: Implications for prediction of reservoir porosity in a hybrid-energy delta system",Mohamed A. K. El‐Ghali; Olga Shelukhina; İftikhar Ahmed Abbasi; Mohamed S. H. Moustafa; Osman Salad Hersi; Numair Ahmed Siddiqui; Khalid Al–Ramadan; Abdullah Alqubalee; Abdulwahab Muhammad Bello; Abduljamiu O. Amao,Marine and Petroleum Geology,2023,article,https://doi.org/10.1016/j.marpetgeo.2023.106611,
Impact of kaolinite and iron oxide cements on resistivity and quality of low resistivity pay sandstones,Anas Muhammad Salisu; Abdullah Alqubalee; Abdulwahab Muhammad Bello; Abdulkarim Al-Hussaini; Abdulrauf R. Adebayo; Abduljamiu O. Amao; Khalid Al–Ramadan,Marine and Petroleum Geology,2023,article,https://doi.org/10.1016/j.marpetgeo.2023.106568,
"Mineralogy and Geochemistry of the Paleocene-Eocene Palana Formation in Western Rajasthan, India: Insights for Sedimentary Paleoenvironmental Conations and Volcanic Activity",Mohammed Hail Hakimi; Alok Kumar; Abdullah Alqubalee; Alok K. Singh; Mohammed Almobarky; Afikah Rahim; Mohammad Alqudah; Aref Lashin; Khairul Azlan Mustapha; Waqas Naseem,Preprints.org,2023,preprint,https://doi.org/10.20944/preprints202311.1550.v1,
"Distinct Petroacoustic Signature of Burrow-Related Carbonate Reservoirs: Outcrop Analog Study, Hanifa Formation, Central Saudi Arabia",Ammar El‐Husseiny; Hassan A. Eltom; Abdullah Alqubalee; Ammar Abdlmutalib; Hani Al-Mukainah; Rika N. Syahputra,Natural Resources Research,2022,article,https://doi.org/10.1007/s11053-022-10097-w,
"First record of shark microremains from the Lower Khartam Member, Khuff Formation: an Upper Permian origin of the genus Lissodus, or a new placement of the Permo/Triassic boundary in Saudi Arabia?",Jarrah Babiker; Michael A. Kaminski; John Humphrey; Khalid Al–Ramadan; Jonathan L. Payne; Abdullah Alqubalee,Stratigraphy,2022,article,https://doi.org/10.29041/strat.19.3.02,
"Fish fossil remains from the Khartam Member, Khuff Formation in Central Saudi Arabia: Implications for placement of the Permo/Triassic Boundary",Jarrah Babiker; John Humphrey; Khalid Al–Ramadan; Jonathan L. Payne; Michael A. Kaminski; Abdullah Alqubalee,,2022,preprint,https://doi.org/10.5194/egusphere-egu22-9154,
"Impact of grain-coating illite in preventing quartz cementation: Example from permo-carboniferous sandstone, Central Saudi Arabia",Abdulwahab Muhammad Bello; Khalid Al–Ramadan; Lamidi Babalola; Abdullah Alqubalee; Abduljamiu O. Amao,Marine and Petroleum Geology,2022,article,https://doi.org/10.1016/j.marpetgeo.2022.106073,
"Pore Volume Characteristics of Clay-Rich Shale: Critical Insight into the Role of Clay Types, Aluminum and Silicon Concentration",Clement Afagwu; Mohamed Mahmoud; Saad Alafnan; Abdullah Alqubalee; Ammar El‐Husseiny; Shirish Patil,Arabian Journal for Science and Engineering,2022,article,https://doi.org/10.1007/s13369-022-06720-w,
"QUANTITATIVE VARIABILITY OF BURROW PERCENTAGE ESTIMATED FROM 2D VIEWS: EXAMPLE FROM <i>THALASSINOIDES</i>-BEARING STRATA, CENTRAL SAUDI ARABIA",Hassan A. Eltom; Abdullah Alqubalee,Palaios,2022,article,https://doi.org/10.2110/palo.2021.012,
"Spatial patterns variations of a burrowed carbonate stratum (ramp carbonates), Upper Jurassic Hanifa Formation, central Saudi Arabia",M. Rika Nanda Syahputra; Hassan A. Eltom; Ammar El‐Husseiny; Michael A. Kaminski; Abdullah Alqubalee,Sedimentary Geology,2022,article,https://doi.org/10.1016/j.sedgeo.2022.106146,
"Stable carbon and oxygen isotope records in a Middle Jurassic carbonate sequence: implications for paleoenvironment, and sea-level fluctuation, central Saudi Arabia",Lamidi Babalola; Abdullah Alqubalee; Michael A. Kaminski; Osman Abdullatif; Mohamed O. Abouelresh,International Journal of Earth Sciences,2022,article,https://doi.org/10.1007/s00531-022-02261-7,
"The negative impact of Ophiomorpha on reservoir quality of channelized deposits in mixed carbonate siliciclastic setting: The case study of the Dam Formation, Saudi Arabia",Abdullah Alqubalee; Jaber Muharrag; Anas Muhammad Salisu; Hassan A. Eltom,Marine and Petroleum Geology,2022,article,https://doi.org/10.1016/j.marpetgeo.2022.105666,
An experimental study on the effect of magnetic field strength and internal gradient on NMR-Derived petrophysical properties of sandstones,Mahmoud Elsayed; Ammar El‐Husseiny; Ibrahim Kadafur; Mohamed Mahmoud; Murtada Saleh Aljawad; Abdullah Alqubalee,Journal of Petroleum Science and Engineering,2021,article,https://doi.org/10.1016/j.petrol.2021.108811,
"Effects of lithofacies on pore system evolution of storm-wave silt-rich fine-grained sediments. Early Silurian Qusaiba Member (Qaliba Formation), NW Saudi Arabia",Ammar Abdlmutalib; Osman Abdullatif; Abdullah Alqubalee; Luis A. González; John Humphrey,Marine and Petroleum Geology,2021,article,https://doi.org/10.1016/j.marpetgeo.2021.105048,
"Geochemical Characterization of Subsurface Upper Ordovician Glaciogenic Deposits: Implications for Provenance, Tectonic Setting, and Depositional Environments",Abdullah Alqubalee; Lamidi Babalola; Osman Abdullatif; Hassan A. Eltom,Arabian Journal for Science and Engineering,2021,article,https://doi.org/10.1007/s13369-021-06066-9,
"Geochemistry and organofacies characteristics of organic-rich chalky marl deposits, northern Jordan: Insights into Type II-S source rock",Mohammed Hail Hakimi; Abbas F. Gharib; Mohammad Alqudah; Adeeb Ahmed; Baleid Ali Hatem; Khairul Azlan Mustapha; Nor Syazwani Zainal Abidin; Aref Lashin; Nura Abdulmumini Yelwa; Abdullah Alqubalee,Journal of Asian Earth Sciences,2021,article,https://doi.org/10.1016/j.jseaes.2021.105040,
Understanding the permeability of burrow-related gas reservoirs through integrated laboratory techniques,Hassan A. Eltom; Abdullah Alqubalee; Abdullah S. Sultan; Assad Barri; Khalid Abdelbasit,Journal of Natural Gas Science and Engineering,2021,article,https://doi.org/10.1016/j.jngse.2021.103917,
Understanding the two-dimensional quantification of bioturbation intensity through computer modeling and statistical analysis,Hassan A. Eltom; Abdullah Alqubalee; Lamidi Babalola,International Journal of Earth Sciences,2021,article,https://doi.org/10.1007/s00531-021-02102-z,
"Evidence for the development of a superpermeability flow zone by bioturbation in shallow marine strata, upper Jubaila Formation, central Saudi Arabia",Hassan A. Eltom; Luis A. González; Abdullah Alqubalee; Abduljamiu O. Amao; Moaz Salih,Marine and Petroleum Geology,2020,article,https://doi.org/10.1016/j.marpetgeo.2020.104512,
Potential overlooked bioturbated reservoir zones in the shallow marine strata of the Hanifa Formation in central Saudi Arabia,Hassan A. Eltom; Abdullah Alqubalee; Mohamed A. Yassin,Marine and Petroleum Geology,2020,article,https://doi.org/10.1016/j.marpetgeo.2020.104798,
The Effect of Clay Content on the Spin–Spin NMR Relaxation Time Measured in Porous Media,Mahmoud Elsayed; Guenther Glatz; Ammar El‐Husseiny; Abdullah Alqubalee; Abdulrauf R. Adebayo; Karem Al-Garadi; Mohamed Mahmoud,ACS Omega,2020,article,https://doi.org/10.1021/acsomega.9b04228,
"Characteristics of Paleozoic tight gas sandstone reservoir: integration of lithofacies, paleoenvironments, and spectral gamma-ray analyses, Rub’ al Khali Basin, Saudi Arabia",Abdullah Alqubalee; Osman Abdullatif; Lamidi Babalola; Mohammad Makkawi,Arabian Journal of Geosciences,2019,article,https://doi.org/10.1007/s12517-019-4467-0,
"Factors Controlling Reservoir Quality of a Paleozoic Tight Sandstone, Rub’ al Khali Basin, Saudi Arabia",Abdullah Alqubalee; Lamidi Babalola; Osman Abdullatif; Mohammad Makkawi,Arabian Journal for Science and Engineering,2019,article,https://doi.org/10.1007/s13369-019-03885-9,
Insight into the Pore Characteristics of a Saudi Arabian Tight Gas Sand Reservoir,Abdulrauf R. Adebayo; Lamidi Babalola; Syed Rizwanullah Hussaini; Abdullah Alqubalee; Rahul S. Babu,Energies,2019,article,https://doi.org/10.3390/en12224302,
"STABLE ISOTOPE CHEMOSTRATIGRAPHY OF A BIOTURBATED MIDDLE JURASSIC CARBONATE SEQUENCE, CENTRAL SAUDI ARABIA: PALEOTEMPERATURE RECONSTRUCTION, DEPOSITION ENVIRONMENT AND DIAGENETIC INTERPRETATIONS",Lamidi Babalola; Aviandy W. Ismanto; Aviandy W. Ismanto; Abdullah Alqubalee; Abdullah Alqubalee; Mohamed O. Abouelresh; Mohamed O. Abouelresh; Michael A. Kaminski; Michael A. Kaminski; Osman Abdullatif; Osman Abdullatif,Abstracts with programs - Geological Society of America,2019,article,https://doi.org/10.1130/abs/2019am-341003,
"Sedimentological Controls on Reservoir Properties of a Paleozoic Tight Sandstone Reservoir, Saudi Arabia",Osman Abdullatif; Abdullah Alqubalee; Lamidi Babalola; Mohammad Makkawi,Proceedings,2018,article,https://doi.org/10.3997/2214-4609.201900217,
"Application of Spectral Gamma Ray for Lithofacies and Paleo-environmental Interpretation: A Case Study from the Late Ordovician Glaciogenic Deposits, Saudi Arabia",Abdullah Alqubalee; Osman Abdullatif; Lamidi Babalola,EGU General Assembly Conference Abstracts,2017,article,http://ui.adsabs.harvard.edu/abs/2017EGUGA..1916887A/abstract,
"Multi-Scale Reservoir Characterization of Tight Gas Sand: A Case Study from the Paleozoic Glaciogenic Sarah Formation, Rub’ Al-Khali Basin, Saudi Arabia",Abdullah Alqubalee,Proceedings,2017,article,https://doi.org/10.3997/2214-4609.201702466,
"Reservoir Characterization of Tight Gas Sand - Integration of lithofacies and Petrophysical properties, Subsurface, Saudi Arabia",Abdullah Alqubalee; Osman Abdullatif; Lamidi Babalola; Mohammad Makkawi,Proceedings,2017,article,https://doi.org/10.3997/2214-4609.201701379,